,MRMR4,IG-784,IG-781,MRMR3,MRMR2,IG-780,IG-782,MRMR0,MRMR1,IG-783,CFS1,CFS0,CFS2,CFS3,CFS4,IG-201,IG-604,IG-200,IG-202,IG-404,IG-203,IG-401,IG-603,IG-602,IG-400,IG-204,IG-402,IG-600,IG-601,IG-403
58,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.5,0.0,0.4,0.9,0.8,0.5,0.0,0.4,0.8,0.8,0.4
59,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.2,0.4,0.1,0.5,0.9,0.6,0.3,0.1,0.2,0.9,0.9,0.6
60,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.9,0.2,0.3,0.6,0.1,0.7,1.0,1.0,1.0,0.4,0.6,1.0,0.9,0.8
61,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.3,0.6,0.7,0.1,0.0,0.2,0.9,0.6,0.1
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.1,0.0,0.5,0.6,0.4,0.2,0.0,0.2,0.5,0.8,0.4
63,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.2,0.0,0.3,0.2,0.5,0.1,0.0,0.3,0.5,0.5,0.1
64,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.1,0.4,0.4,0.4,0.0,0.1,0.7,0.4,0.2
65,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.2,0.3,0.0,0.2,0.3,0.7,0.2,0.0,0.3,0.6,0.6,0.0
66,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.3,0.0,0.0,0.5,0.5,0.2,0.1,0.2,0.6,0.7,0.1
67,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.1,0.1,0.6,0.6,0.0,0.0,0.0,0.4,0.8,0.1
68,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.3,0.5,0.9,0.3,0.0,0.3,0.5,0.7,0.3
69,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.6,0.6,0.7,0.8,0.8,0.2,1.0,0.4,0.3,0.9,0.3,1.0,1.0,1.0,0.9,0.3,0.7,1.0,1.0,0.6
70,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.1,0.5,0.1,0.3,1.0,0.9,0.5,0.0,0.5,0.7,0.8,0.6
71,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.3,0.4,0.6,0.0,0.0,0.1,0.7,0.8,0.1
72,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.4,0.0,0.5,0.5,0.6,0.5,0.0,0.1,0.7,0.9,0.0
74,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.6,0.2,0.5,0.8,0.8,0.5,0.0,0.6,0.6,0.9,0.6
75,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.7,0.6,0.1,0.0,0.1,0.6,0.6,0.1
76,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.1,0.1,0.1,0.5,0.4,0.0,0.0,0.2,0.2,0.2,0.3
77,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.3,0.1,0.8,0.3,0.6,1.0,0.7,0.6,0.2,0.7,0.9,0.7,0.6
